crop,high_humidity_risk,high_temperature_risk,low_temperature_risk,heavy_rainfall_risk,prevention,severity
Peas,Powdery Mildew,Aphids,Fusarium Wilt,Root Rot,Use resistant varieties and avoid overcrowding.,Medium
Beans,Anthracnose,Bean Fly,Rust,Root Rot,Use certified seeds and crop rotation.,Medium
Cucumber,Downy Mildew,Fruit Fly,Powdery Mildew,Anthracnose,Ensure proper ventilation and drainage.,Medium
Pumpkin,Powdery Mildew,Red Pumpkin Beetle,Downy Mildew,Fruit Rot,Use crop rotation and pest monitoring.,Medium
Bottle Gourd,Downy Mildew,Fruit Fly,Powdery Mildew,Stem Rot,Maintain proper spacing and sanitation.,Medium
Bitter Gourd,Powdery Mildew,Fruit Fly,Mosaic Virus,Fruit Rot,Use resistant varieties and remove infected vines.,Medium
Drumstick,Leaf Spot,Caterpillars,Root Rot,Stem Rot,Regular pruning and sanitation.,Low
Spinach,Downy Mildew,Leaf Miner,Damping Off,Leaf Spot,Avoid excessive irrigation and maintain spacing.,Low
Coriander,Powdery Mildew,Aphids,Stem Rot,Leaf Spot,Use disease-free seeds.,Low
Fenugreek,Powdery Mildew,Aphids,Root Rot,Damping Off,Maintain proper drainage and crop rotation.,Low
