crop,advisory,fertilizer_recommendation,irrigation_tip,best_practice
Banana,Requires regular potassium application.,Apply balanced fertilizer every month.,Frequent irrigation is essential.,Support plants to prevent lodging.
Mango,Avoid excess irrigation during flowering.,Apply organic manure after harvest.,Irrigate during fruit development.,Prune diseased branches annually.
Orange,Ensure proper drainage.,Balanced fertilizer with micronutrients.,Regular irrigation during fruit development.,Monitor citrus psylla.
Papaya,Protect plants from waterlogging.,Apply compost every two months.,Maintain uniform soil moisture.,Remove infected plants immediately.
Pomegranate,Avoid excess irrigation during fruit maturity.,Apply potassium-rich fertilizer.,Drip irrigation is preferred.,Regular pruning improves fruit quality.
Grapes,Train vines properly.,Apply balanced fertilizer based on soil test.,Drip irrigation is recommended.,Regular pruning is essential.
Apple,Apply organic manure during dormancy.,Balanced NPK fertilizer.,Maintain adequate irrigation during fruit development.,Annual pruning is essential.
Guava,Apply farmyard manure annually.,Balanced fertilizer application.,Moderate irrigation during flowering.,Prune regularly for better yield.
Watermelon,Avoid excessive irrigation near harvest.,Apply phosphorus-rich fertilizer.,Maintain uniform soil moisture.,Use mulch to conserve moisture..
Tomato,Monitor for early and late blight.,Apply calcium and balanced NPK.,Drip irrigation is highly recommended.,Stake plants for better growth.
Onion,Avoid waterlogging.,Apply sulfur-containing fertilizer.,Frequent light irrigation.,Harvest after neck fall.
Potato,Use certified disease-free seed tubers.,Balanced NPK with higher potassium.,Regular irrigation during tuber formation.,Earth up plants after emergence.
Brinjal,Monitor for shoot and fruit borer.,Apply compost and balanced fertilizer.,Maintain regular irrigation.,Remove infected shoots promptly.
Cabbage,Control cabbage butterfly infestation.,Apply nitrogen in split doses.,Regular irrigation is necessary.,Maintain field sanitation.
Cauliflower,Apply boron if deficiency appears.,Balanced fertilizer application.,Maintain adequate soil moisture.,Avoid overcrowding.
Chilli,Monitor for thrips and wilt disease.,Balanced fertilizer with potassium.,Drip irrigation improves yield.,Use resistant varieties.
Turmeric,Use healthy rhizomes for planting.,Apply farmyard manure and potash.,Maintain soil moisture throughout growth.,Mulching improves yield.
Ginger,Plant disease-free rhizomes.,Apply compost and balanced fertilizer.,Regular irrigation during dry periods.,Mulch immediately after planting.
Garlic,Ensure good drainage.,Balanced fertilizer with sulfur.,Regular irrigation before bulb formation.,Use healthy cloves.
Peas,Provide support for climbing varieties.,Apply phosphorus fertilizer.,Moderate irrigation.,Practice crop rotation.
Beans,Monitor for rust disease.,Balanced fertilizer application.,Regular irrigation during flowering.,Use certified seeds.
Cucumber,Maintain adequate spacing.,Balanced fertilizer application.,Frequent light irrigation.,Harvest fruits regularly.
Pumpkin,Provide sufficient vine space.,Apply compost before sowing.,Moderate irrigation.,Control fruit fly.
Bottle Gourd,Support vines using trellis.,Balanced fertilizer application.,Maintain regular irrigation.,Harvest tender fruits regularly.
Bitter Gourd,Use trellis for better growth.,Apply organic manure.,Drip irrigation is beneficial.,Remove diseased leaves.
Drumstick,Requires minimal fertilizer after establishment.,Apply compost annually.,Irrigate during dry periods.,Prune regularly to encourage branching.
Spinach,Harvest leaves regularly.,Apply nitrogen fertilizer.,Frequent light irrigation.,Avoid water stress.
Coriander,Maintain uniform soil moisture.,Apply organic manure.,Light irrigation every week.,Harvest before flowering for leaves.
Fenugreek,Use Rhizobium inoculation.,Apply phosphorus fertilizer.,Moderate irrigation.,Harvest at proper maturity.
